0
//Type	Name                               
0     	"Kris"                              
1     	"Short Sword"                       
2     	"Rapier"                            
3     	"Katana"                            
4     	"Sword of Assassin"                 
5     	"Blade"                             
6     	"Gladius"                           
7     	"Falchion"                          
8     	"Serpent Sword"                     
9     	"Sword of Salamander"               
10    	"Light Saber"                       
11    	"Legendary Sword"                   
12    	"Heliacal Sword"                    
13    	"Double Blade"                      
14    	"Lighting Sword"                    
15    	"Giant Sword"                       
16    	"Sword of Destruction"              
17    	"Dark Breaker"                      
18    	"Thunder Blade"                     
19    	"Divine Sword of Archangel"         
20    	"Knight Blade"                      
21    	"Dark Reign Blade"                  
22    	"Bone Blade"                        
23    	"Explosion Blade"                   
24    	"Daybreak"                          
25    	"Sword Dancer"                      
26    	"Flameberge"                        
27    	"Sword Breaker"                     
28    	"Rune Bastard Sword"                
29    	"Sonic Blade"                       
30    	"Asura"                             
31    	"Rune Blade"                        
32    	"Sacred Glove"                      
33    	"Holy Storm Claws"                  
34    	"Piercing Blade Glove"              
35    	"Phoenix Soul Star"                 
36    	"Cyclone Sword"                     
37    	"Blast Break"                       
41    	"Pandora Pick (Two-Handed)"         
42    	"Bloodangel Sword"                  
44    	"Bloodangel Magic Sword"            
46    	"Bloodangel Claws"                  
48    	"[Bound] Sword of Destruction"      
49    	"[Bound] Thunder Blade"             
50    	"[Bound] Holy Storm Claws"          
51    	"Blessed Divine Arch Sword"         
52    	"Pantera Claws"                     
53    	"Devast Claws"                      
54    	"Darkangel Sword"                   
55    	"Darkangel Magic Sword"             
56    	"Darkangel Claws"                   
57    	"Holyangel Sword"                   
58    	"Holyangel Magic Sword"             
59    	"Holyangel Claws"                   
60    	"Archangel Absolute Claws"          
61    	"Blessed Arch's Absolute Claws"     
62    	"Soul Sword"                        
63    	"Soul Magic Sword"                  
64    	"Soul Claws"                        
65    	"[Bound] Cookery Short Sword"       
66    	"Flat Short Sword"                  
67    	"Dacia Short Sword"                 
68    	"Cookery Short Sword"               
69    	"Paring Short Sword"                
70    	"Novakura Short Sword"              
71    	"Bloodangel Short Sword"            
72    	"Darkangel Short Sword"             
73    	"Holyangel Short Sword"             
74    	"Soul Short Sword"                  
75    	"Blue Eye Short Sword"              
76    	"Divine Short Sword of Arch."       
77    	"Blessed Arch Abs. Short Sword"     
78    	"Blue Eye Sword"                    
79    	"Blue Eye Magic Sword"              
80    	"Blue Eye Claw"                     
81    	"Silver Heart Sword"                
82    	"Silver Heart Magic Sword"          
83    	"Silver Heart Claws"                
84    	"Silver Heart Short Sword"          
85    	"Manticore Sword"                   
86    	"Manticore Magic Sword"             
87    	"Manticore Claws"                   
88    	"Manticore Short Sword"             
89    	"Blood Angel Magic Two Hand Swor"   
90    	"Dark Angel Magic Two Hand Sword"   
91    	"Holy Angel Magic Two Hand Sword"   
92    	"Soul Magic Two Hand Sword"         
93    	"Blue Eye Magic Two Hand Sword"     
94    	"Silver Heart Magic Two Hand Swo"   
95    	"Manticore Magic Two-Handed Swor"   
96    	"Brilliant Sword"                   
97    	"Brilliant Magic Sword"             
98    	"Brilliant Claws"                   
99    	"Brilliant Short Sword"             
100   	"Brilliant Magic Two-handed Swor"   
101   	"Silver Blade"                      
102   	"Xeno Blade"                        
103   	"Dragon Blade"                      
104   	"Blood Blade"                       
105   	"Blood Angel Blade"                 
106   	"Dark Angel Blade"                  
107   	"Holy Angel Blade"                  
108   	"Soul Blade"                        
109   	"Blue Eye Blade"                    
110   	"Silver Heart Blade"                
111   	"Manticore Blade"                   
112   	"Brilliant Blade"                   
113   	"Archangel's Absolute Blade"        
114   	"Blessed Archangel's Absolute Bl"   
115   	"[Bound] Xeno Blade"                
end

1
//Type	Name          
0     	"Small Axe"   
1     	"Hand Axe"    
2     	"Double Axe"  
3     	"Tomahawk"    
4     	"Elven Axe"   
5     	"Battle Axe"  
6     	"Nikea Axe"   
7     	"Larkan Axe"  
8     	"Crescent Axe"
end

2
//Type	Name                                   
0     	"Mace"                                 
1     	"Morning Star"                         
2     	"Flail"                                
3     	"Great Hammer"                         
4     	"Crystal Morning Star"                 
5     	"Crystal Sword"                        
6     	"Chaos Dragon Axe"                     
7     	"Elemental Mace"                       
8     	"Battle Scepter"                       
9     	"Master Scepter"                       
10    	"Great Scepter"                        
11    	"Lord Scepter"                         
12    	"Great Lord Scepter"                   
13    	"Divine Scepter of Archangel"          
14    	"Soleil Scepter"                       
15    	"Shining Scepter"                      
16    	"Frost Mace"                           
17    	"Absolute Scepter"                     
18    	"Striker Scepter"                      
19    	"Thunderbolt"                          
20    	"Horn of Steal"                        
22    	"Bloodangel Scepter"                   
24    	"[Bound] Lord's Scepter"               
25    	"Blessed Divine Arch Scepter"          
26    	"Darkangel Scepter"                    
27    	"Holyangel Scepter"                    
28    	"Elemental Rune Mace"                  
29    	"El Hazard Mace"                       
30    	"Frost Rune Mace"                      
31    	"Light Road Runic Mace"                
32    	"Bloodangel Runic Mace"                
33    	"Darkangel Runic Mace"                 
34    	"Absolute Mace of Archangel"           
35    	"Blessed Divine Arch Mace"             
36    	"Soul Scepter"                         
37    	"[Bound] Elemental Rune Mace"          
38    	"Holyangel Rune Mace"                  
39    	"Soul Rune Mace"                       
40    	"Blue Eye Scepter"                     
41    	"Blue Eye Rune Mace"                   
42    	"Silver Heart Scepter"                 
43    	"Silver Heart Rune Mace"               
44    	"Manticore Scepter"                    
45    	"Manticore Rune Mace"                  
46    	"Brilliant Scepter"                    
47    	"Brilliant Rune Mace"                  
end	
	
3	
//Type	Name                                   
0     	"Light Spear"                          
1     	"Spear"                                
2     	"Dragon Lance"                         
3     	"Giant Trident"                        
4     	"Serpent Spear"                        
5     	"Double Poleaxe"                       
6     	"Halberd"                              
7     	"Berdysh"                              
8     	"Great Scythe"                         
9     	"Bill of Balrog"                       
10    	"Dragon Spear"                         
11    	"Brova"                                
12    	"Magmus Peer"                          
13    	"Lapid Lance"                          
14    	"Conmocion Lance"                      
15    	"Pluma Lance"                          
16    	"Vis Lance"                            
17    	"Prickle Lance"                        
18    	"Alacran Lance"                        
19    	"Bloodangel Lance"                     
21    	"[Bound] Pluma Lance"                  
22    	"Rectuus Lance"                        
23    	"Russell Light Lance"                  
24    	"Darkangel Lance"                      
25    	"Holyangel Lance"                      
26    	"Absolute Lance of the Arch."          
27    	"Blessed Divine Arch Lance"            
28    	"Soul Lance"                           
29    	"Blue Eye Lance"                       
30    	"Silver Heart Lance"                   
31    	"Manticore Lance"                      
32    	"Brilliant Lance"                      
end	
	
4	
//Type	Name                                   
0     	"Short Bow"                            
1     	"Bow"                                  
2     	"Elven Bow"                            
3     	"Battle Bow"                           
4     	"Tiger Bow"                            
5     	"Silver Bow"                           
6     	"Chaos Nature Bow"                     
7     	"Bolt"                                 
8     	"Crossbow"                             
9     	"Golden Crossbow"                      
10    	"Arquebus"                             
11    	"Light Crossbow"                       
12    	"Serpent Crossbow"                     
13    	"Bluewing Crossbow"                    
14    	"Aquagold Crossbow"                    
15    	"Arrow"                                
16    	"Saint Crossbow"                       
17    	"Celestial Bow"                        
18    	"Divine Crossbow of Archangel"         
19    	"Great Reign Crossbow"                 
20    	"Arrow Viper Bow"                      
21    	"Sylph Wind Bow"                       
22    	"Albatross Bow"                        
23    	"Dark Stinger"                         
24    	"Aileen Bow"                           
25    	"Angelic Bow"                          
26    	"Devil Crossbow"                       
28    	"Bloodangel Bow"                       
29    	"[Bound] Celestial Bow"                
30    	"Blessed Divine Arch Crossbow"         
31    	"Darkangel Bow"                        
32    	"Combat Quiver"                        
33    	"Devilwood Quiver"                     
34    	"Bloodangel Quiver"                    
35    	"Darkangel Quiver"                     
36    	"Holyangel Bow"                        
37    	"Holyangel Quiver"                     
38    	"Soul Bow"                             
39    	"Soul Quiver"                          
40    	"Blue Eye Bow"                         
41    	"Blue Eye Quiver"                      
42    	"Entropy Gun"                          
43    	"Frere Magic Gun"                      
44    	"Weiwen Magic Gun"                     
45    	"Cannon Magic Gun"                     
46    	"Archangel's Absolute Magic Gun"       
47    	"Blessed Archangel's Absolute Ma"      
48    	"Bloodangel Magic Gun"                 
49    	"Darkangel Magic Gun"                  
50    	"Holyangel Magic Gun"                  
51    	"Soul Magic Gun"                       
52    	"Blue Eye Magic Gun"                   
53    	"Silver Heart Magic Gun"               
54    	"Manticore Magic Gun"                  
55    	"[Bound] Frere Magic Gun"              
56    	"Silver Heart Bow"                     
57    	"Silver Heart Arrow Box"               
58    	"Manticore Bow"                        
59    	"Manticore Quiver"                     
60    	"Brilliant Magic Gun"                  
61    	"Brilliant Bow"                        
62    	"Brilliant Quiver"                     
end	
	
5	
//Type	Name                                   
0     	"Skull Staff"                          
1     	"Angelic Staff"                        
2     	"Serpent Staff"                        
3     	"Thunder Staff"                        
4     	"Gorgon Staff"                         
5     	"Legendary Staff"                      
6     	"Staff of Resurrection"                
7     	"Chaos Lighting Staff"                 
8     	"Staff of Destruction"                 
9     	"Dragon Soul Staff"                    
10    	"Divine Staff of Archangel"            
11    	"Staff of Kundun"                      
12    	"Grand Viper Staff"                    
13    	"Platina Staff"                        
14    	"Mystery Stick"                        
15    	"Violent Wind Stick"                   
16    	"Red Wing Stick"                       
17    	"Ancient Stick"                        
18    	"Demonic Stick"                        
19    	"Storm Blitz Stick"                    
20    	"Eternal Wing Stick"                   
21    	"Book of Shamut"                       
22    	"Book of Neil"                         
23    	"Book of Lagle"                        
30    	"Deadly Staff"                         
31    	"Inberial Staff"                       
32    	"Summon Spirit Stick"                  
33    	"Chrome Staff"                         
34    	"Raven Stick"                          
35    	"Miracle Staff"                        
36    	"Divine Stick of the Archangel"        
37    	"Spite Staff"                          
41    	"Bloodangel Staff"                     
43    	"Bloodangel Stick"                     
45    	"[Bound] Legendary Staff"              
46    	"[Bound] Red Winged Stick"             
47    	"[Bound] Book of Lagle"                
48    	"[Bound] Staff of Destruction"         
49    	"Blessed Divine Arch Staff"            
50    	"Blessed Divine Arch Stick"            
51    	"Darkangel Staff"                      
52    	"Darkangel Stick"                      
53    	"Holyangel Staff"                      
54    	"Holyangel Stick"                      
55    	"Soul Staff"                           
56    	"Soul Stick"                           
57    	"Book of Bloodangel"                   
58    	"Book of Darkangel"                    
59    	"Book of Holyangel"                    
60    	"Book of Soul"                         
61    	"Blue Eye Staff"                       
62    	"Blue Eye Stick"                       
63    	"Blue Eye Book"                        
64    	"Silver Heart Staff"                   
65    	"Silver Heart Stick"                   
66    	"Silver Heart Book"                    
67    	"[Bound] Elemental Magic Book"         
68    	"Basic Magic Book"                     
69    	"Elemental Magic Book"                 
70    	"Elemental Magic Book"                 
71    	"Wise Magic Book"                      
72    	"Legendary Magic Book"                 
73    	"Blood Angel Magic Book"               
74    	"Dark Angel Magic Book"                
75    	"Holy Angel Magic Book"                
76    	"Soul Magic Book"                      
77    	"Blue Eye Magic Book"                  
78    	"Silver Heart Magic Book"              
79    	"Manticore Magic Book"                 
80    	"[Bound] Blue Moon Orb"                
81    	"Royal Orb"                            
82    	"Myotis Orb"                           
83    	"Blue Moon Orb"                        
84    	"Spinel Orb"                           
85    	"Almandin Orb"                         
86    	"Blood Angel Orb"                      
87    	"Dark Angel Orb"                       
88    	"Holy Angel Orb"                       
89    	"Soul Orb"                             
90    	"Blue Eye Orb"                         
91    	"Silver Heart Orb"                     
92    	"Manticore Orb"                        
93    	"Archangel's Absolute Orb"             
94    	"Blessed Archangel's Absolute Or"      
95    	"Manticore Staff"                      
96    	"Manticore Stick"                      
97    	"Manticore Book"                       
98    	"Shining Feather Magic Book"           
99    	"Brilliant Staff"                      
100   	"Brilliant Stick"                      
101   	"Brilliant Book"                       
102   	"Brilliant Magic Book"                 
103   	"Brilliant Orb"                        
end	
	
6	
//Type	Name                                     
0     	"Small Shield"                           
1     	"Horn Shield"                            
2     	"Kite Shield"                            
3     	"Elven Shield"                           
4     	"Buckler"                                
5     	"Dragon Slayer Shield"                   
6     	"Skull Shield"                           
7     	"Spiked Shield"                          
8     	"Tower Shield"                           
9     	"Plate Shield"                           
10    	"Large Round Shield"                     
11    	"Serpent Shield"                         
12    	"Bronze Shield"                          
13    	"Dragon Shield"                          
14    	"Legendary Shield"                       
15    	"Grand Soul Shield"                      
16    	"Elemental Shield"                       
17    	"Crimson Glory"                          
18    	"Salamander Shield"                      
19    	"Frost Barrier"                          
20    	"Guardian Shield"                        
21    	"Cross Shield"                           
22    	"Lazy Wind Shield"                       
23    	"Light Lord Shield"                      
24    	"Dark Devil Shield"                      
25    	"Magic Knight Shield"                    
26    	"Ambition Shield"                        
29    	"Lapid Shield"                           
30    	"Pluma Shield"                           
31    	"Alacran Shield"                         
32    	"Vis Shield"                             
34    	"Blood Angel Fairy Shield"               
37    	"[Bound] Legendary Shield"               
38    	"[Bound] Cross Shield"                   
39    	"[Bound] Pluma Shield"                   
40    	"Grace Shield"                           
41    	"Constant Shield"                        
42    	"El Hazard Shield"                       
43    	"[Bound] Elemental Shield"               
44    	"Bloodangel Shield"                      
45    	"Darkangel Shield"                       
46    	"Holyangel Shield"                       
47    	"Soul Shield"                            
48    	"Blue Eye Shield"                        
49    	"Silver Heart Shield"                    
50    	"Manticore Shield"                       
51    	"Dark Angel Fairy Shield"                
52    	"Holy Angel Fairy Shield"                
53    	"Soul Fairy Shield"                      
54    	"Blue Eye Fairy Shield"                  
